job_description,resume_name,resume_text,relevant
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_17,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Backend Developer_HARD_NEGATIVE_17,Python FastAPI Docker SQL Git,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_17,Finance Customer Service Accounting,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_18,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Data Analyst_HARD_NEGATIVE_18,Excel Power BI SQL Python Pandas,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_18,Sales Finance Customer Service,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_19,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Data Scientist_HARD_NEGATIVE_19,Python Pandas NumPy Statistics Machine Learning SQL,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_19,Sales Photography Teaching,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_20,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Machine Learning Engineer_HARD_NEGATIVE_20,Python TensorFlow Machine Learning MLOps Docker,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_20,Sales Accounting Teaching,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_21,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Data Analyst_HARD_NEGATIVE_21,Excel Power BI SQL Python Pandas,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_21,Marketing Accounting Photography,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_22,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Backend Developer_HARD_NEGATIVE_22,Python FastAPI Docker SQL Git,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_22,Customer Service Finance Accounting,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_23,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Data Scientist_HARD_NEGATIVE_23,Python Pandas NumPy Statistics Machine Learning SQL,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_23,Customer Service Finance Accounting,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_24,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Machine Learning Engineer_HARD_NEGATIVE_24,Python TensorFlow Machine Learning MLOps Docker,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_24,Teaching Accounting Sales,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_25,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Backend Developer_HARD_NEGATIVE_25,Python FastAPI Docker SQL Git,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_25,Sales Marketing Finance,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_26,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Data Scientist_HARD_NEGATIVE_26,Python Pandas NumPy Statistics Machine Learning SQL,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_26,Sales Photography Finance,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_27,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Backend Developer_HARD_NEGATIVE_27,Python FastAPI Docker SQL Git,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_27,Finance Accounting Marketing,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_28,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Data Analyst_HARD_NEGATIVE_28,Excel Power BI SQL Python Pandas,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_28,Sales Customer Service Finance,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_29,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Machine Learning Engineer_HARD_NEGATIVE_29,Python TensorFlow Machine Learning MLOps Docker,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_29,Customer Service Teaching Finance,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_30,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Machine Learning Engineer_HARD_NEGATIVE_30,Python TensorFlow Machine Learning MLOps Docker,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_30,Marketing Customer Service Photography,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_31,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Backend Developer_HARD_NEGATIVE_31,Python FastAPI Docker SQL Git,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_31,Teaching Photography Customer Service,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_32,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Backend Developer_HARD_NEGATIVE_32,Python FastAPI Docker SQL Git,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_32,Finance Customer Service Marketing,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_33,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Data Analyst_HARD_NEGATIVE_33,Excel Power BI SQL Python Pandas,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_33,Teaching Sales Photography,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_34,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Data Analyst_HARD_NEGATIVE_34,Excel Power BI SQL Python Pandas,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_34,Teaching Marketing Photography,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_35,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Data Analyst_HARD_NEGATIVE_35,Excel Power BI SQL Python Pandas,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_35,Accounting Marketing Customer Service,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_36,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Data Scientist_HARD_NEGATIVE_36,Python Pandas NumPy Statistics Machine Learning SQL,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_36,Sales Accounting Teaching,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_37,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Backend Developer_HARD_NEGATIVE_37,Python FastAPI Docker SQL Git,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_37,Photography Teaching Customer Service,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_38,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Data Analyst_HARD_NEGATIVE_38,Excel Power BI SQL Python Pandas,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_38,Finance Marketing Sales,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_39,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Data Scientist_HARD_NEGATIVE_39,Python Pandas NumPy Statistics Machine Learning SQL,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_39,Sales Marketing Teaching,0
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,Data Scientist_GOOD_0,Python Pandas NumPy Statistics Machine Learning SQL,1
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,Machine Learning Engineer_HARD_NEGATIVE_0,Python TensorFlow Machine Learning MLOps Docker,0
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,SOFT_NEGATIVE_0,Customer Service Sales Finance,0
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,Data Scientist_GOOD_1,Python Pandas NumPy Statistics Machine Learning SQL,1
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,Machine Learning Engineer_HARD_NEGATIVE_1,Python TensorFlow Machine Learning MLOps Docker,0
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,SOFT_NEGATIVE_1,Accounting Finance Marketing,0
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,Data Scientist_GOOD_2,Python Pandas NumPy Statistics Machine Learning SQL,1
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,Backend Developer_HARD_NEGATIVE_2,Python FastAPI Docker SQL Git,0
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,SOFT_NEGATIVE_2,Teaching Finance Accounting,0
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,Data Scientist_GOOD_3,Python Pandas NumPy Statistics Machine Learning SQL,1
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,Backend Developer_HARD_NEGATIVE_3,Python FastAPI Docker SQL Git,0
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,SOFT_NEGATIVE_3,Finance Photography Marketing,0
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,Data Scientist_GOOD_4,Python Pandas NumPy Statistics Machine Learning SQL,1
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,Data Analyst_HARD_NEGATIVE_4,Excel Power BI SQL Python Pandas,0
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,SOFT_NEGATIVE_4,Teaching Accounting Photography,0
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,Data Scientist_GOOD_5,Python Pandas NumPy Statistics Machine Learning SQL,1
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,AI Engineer_HARD_NEGATIVE_5,Python Machine Learning Deep Learning PyTorch Transformers NLP,0
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,SOFT_NEGATIVE_5,Marketing Teaching Accounting,0
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,Data Scientist_GOOD_6,Python Pandas NumPy Statistics Machine Learning SQL,1
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,Backend Developer_HARD_NEGATIVE_6,Python FastAPI Docker SQL Git,0
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,SOFT_NEGATIVE_6,Teaching Accounting Photography,0
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,Data Scientist_GOOD_7,Python Pandas NumPy Statistics Machine Learning SQL,1
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,Machine Learning Engineer_HARD_NEGATIVE_7,Python TensorFlow Machine Learning MLOps Docker,0
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,SOFT_NEGATIVE_7,Customer Service Teaching Sales,0
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,Data Scientist_GOOD_8,Python Pandas NumPy Statistics Machine Learning SQL,1
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,Data Analyst_HARD_NEGATIVE_8,Excel Power BI SQL Python Pandas,0
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,SOFT_NEGATIVE_8,Accounting Marketing Teaching,0
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,Data Scientist_GOOD_9,Python Pandas NumPy Statistics Machine Learning SQL,1
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,Machine Learning Engineer_HARD_NEGATIVE_9,Python TensorFlow Machine Learning MLOps Docker,0
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,SOFT_NEGATIVE_9,Photography Customer Service Sales,0
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,Data Scientist_GOOD_10,Python Pandas NumPy Statistics Machine Learning SQL,1
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,Backend Developer_HARD_NEGATIVE_10,Python FastAPI Docker SQL Git,0
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,SOFT_NEGATIVE_10,Teaching Marketing Customer Service,0
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,Data Scientist_GOOD_11,Python Pandas NumPy Statistics Machine Learning SQL,1
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,Machine Learning Engineer_HARD_NEGATIVE_11,Python TensorFlow Machine Learning MLOps Docker,0
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,SOFT_NEGATIVE_11,Sales Marketing Customer Service,0
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,Data Scientist_GOOD_12,Python Pandas NumPy Statistics Machine Learning SQL,1
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,Backend Developer_HARD_NEGATIVE_12,Python FastAPI Docker SQL Git,0
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,SOFT_NEGATIVE_12,Photography Teaching Finance,0
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,Data Scientist_GOOD_13,Python Pandas NumPy Statistics Machine Learning SQL,1
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,Data Analyst_HARD_NEGATIVE_13,Excel Power BI SQL Python Pandas,0
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,SOFT_NEGATIVE_13,Teaching Customer Service Finance,0
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,Data Scientist_GOOD_14,Python Pandas NumPy Statistics Machine Learning SQL,1
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,Backend Developer_HARD_NEGATIVE_14,Python FastAPI Docker SQL Git,0
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,SOFT_NEGATIVE_14,Marketing Sales Teaching,0
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,Data Scientist_GOOD_15,Python Pandas NumPy Statistics Machine Learning SQL,1
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,Data Analyst_HARD_NEGATIVE_15,Excel Power BI SQL Python Pandas,0
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,SOFT_NEGATIVE_15,Accounting Photography Customer Service,0
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,Data Scientist_GOOD_16,Python Pandas NumPy Statistics Machine Learning SQL,1
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,AI Engineer_HARD_NEGATIVE_16,Python Machine Learning Deep Learning PyTorch Transformers NLP,0
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,SOFT_NEGATIVE_16,Finance Accounting Photography,0
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,Data Scientist_GOOD_17,Python Pandas NumPy Statistics Machine Learning SQL,1
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,Machine Learning Engineer_HARD_NEGATIVE_17,Python TensorFlow Machine Learning MLOps Docker,0
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,SOFT_NEGATIVE_17,Customer Service Photography Teaching,0
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,Data Scientist_GOOD_18,Python Pandas NumPy Statistics Machine Learning SQL,1
Looking for a Data Scientist with experience in Python Pandas NumPy Statistics Machine Learning SQL,Data Analyst_HARD_NEGATIVE_18,Excel Power BI SQL Python Pandas,0
